time1       St         Vt
1992/07/31 424.209991  13.17
1992/06/30 408.140015  13.35
1992/05/31 415.350006  13.86
1992/04/30 414.950012  15.53
1992/03/31 403.690002  16.18
1992/02/29 412.700012  16.68
1992/01/31 408.779999  17.4
1991/12/31 417.089996  19.309999
1991/11/30 375.220001  20.26
1991/10/31 392.450012  15.48
1991/09/30 387.859985  15.85
1991/08/31 395.429993  14.46
1991/07/31 387.809998  15.18
1991/06/30 371.160004  19.549999
1991/05/31 389.829987  15.93
1991/04/30 375.339996  18.24
1991/03/31 375.220001  16.879999
1991/02/28 367.070007  21.23
1991/01/31 343.929993  20.91
1990/12/31 330.220001  26.379999
1990/11/30 322.220001  22.16
1990/10/31 304         30.040001
1990/09/30 306.049988  29.110001
1990/08/31 322.559998  29.9
1990/07/31 356.149994  21.110001
1990/06/30 358.019989  15.5
1990/05/31 361.230011  17.370001
1990/04/30 330.799988  19.52
1990/03/31 339.940002  19.73
1990/02/28 331.890015  21.99
1990/01/31 329.079987  25.360001
