"Xt" "time"
4.38509604379639 84.5
4.78725303506489 84.75
4.44439514247521 85
4.10505643524454 85.25
2.81903646075262 85.5
2.48004085756266 85.75
2.08579513574044 86
1.88908432245371 86.25
2.71676317400856 86.5
2.06463600349073 86.75
2.25631811839013 87
2.25670660198599 87.25
3.07830664942641 87.5
3.66811523920198 87.75
4.13553122601036 88
4.39003232178279 88.25
5.0016488791446 88.5
5.8986340479975 88.75
5.6964832669414 89
6.45302678406662 89.25
6.92893264508837 89.5
6.91152873262331 89.75
7.47662942851507 90
7.85266073379634 90.25
7.43786257450752 90.5
7.61561613860138 90.75
7.20137357472153 91
6.97094565182033 91.25
6.48861051519591 91.5
6.05085943410769 91.75
5.67796744657249 92
5.53248282762062 92.25
5.01856492521411 92.5
4.66794345508397 92.75
4.77361925117507 93
3.73124016323474 93.25
3.35637706266994 93.5
3.57525704726658 93.75
3.35657244457566 94
3.31676716193939 94.25
3.26032576591117 94.5
2.81456885029818 94.75
2.6660142028955 95
3.1424005666315 95.25
2.95755267629891 95.5
3.46268785611613 95.75
3.96937566701044 96
4.93460727979532 96.25
5.48762418848153 96.5
5.62579582083986 96.75
5.73997540797292 97
6.30329518145746 97.25
6.73531739530179 97.5
7.37193275043786 97.75
7.64886563831389 98
8.79194948448686 98.25
7.94669921068051 98.5
8.37711710761256 98.75
6.96187311623034 99
8.33427776308986 99.25
7.56861958617499 99.5
7.95322891178061 99.75
7.07556950714819 100
